cell_km,medoid_rank,consensus_rank,species,occurrence_rows,unique_locations,duplicate_rows,occupied_cells,occupied_area_km2,centroid_x_km,centroid_y_km,mean_pairwise_jsd,jsd_to_consensus
10,103,50,Nardus stricta,76666,76666,0,12572,1257200,-85.4315696632035,524.1751189193589,0.8286045262337594,0.5389670179833672
10,104,117,Anthyllis montana,4296,4296,0,745,74500,-438.86208646837895,-884.0883729046349,0.8294797434146163,0.6867342599455105
10,105,74,Medicago falcata,13223,13223,0,5763,576300,642.8568037526725,-47.4180867320828,0.8306696884103363,0.590780443908156
10,106,105,Helianthemum apenninum,8940,8940,0,2015,201500,-561.4475058852872,-910.162849283032,0.8308499551725361,0.6516846575553118
10,107,124,Alchemilla pentaphyllea,1190,1190,0,245,24500,-231.36310288388793,-713.6169754250762,0.8312706415632309,0.7311895838028876
10,108,107,Coronilla minima,9939,9939,0,1782,178200,-649.7564804045315,-1001.3060456907017,0.8349973536348361,0.6566522326649306
10,109,56,Potentilla erecta,167345,167345,0,20275,2027500,-93.21526558407948,447.75077359436136,0.839074484291871,0.5416984561967931
10,110,71,Luzula campestris,77960,77960,0,12518,1251800,-293.2463646326075,107.77822753486933,0.8399093939556895,0.5804784995677504
10,111,119,Pedicularis rostratocapitata,1238,1238,0,293,29300,211.21565751598382,-523.0274526619314,0.840009670682804,0.7039428363638334
10,112,120,Gentiana alpina,1435,1435,0,378,37800,-399.9125436572597,-826.9866513344956,0.8404423815456271,0.7138420923701893
10,113,104,Helictochloa pratensis,15689,15689,0,3366,336600,3.396198733727334,218.50638784357363,0.842925848711269,0.6483557346397967
10,114,97,Oxyria digyna,10954,10954,0,2710,271000,-53.151348266264534,871.9376734899847,0.8437295412570233,0.6353409012401984
10,115,110,Cardamine bellidifolia,3434,3434,0,1169,116900,94.67972384825123,888.4347512666372,0.8462989926661534,0.6691907893521182
10,116,66,Agrostis capillaris,170701,170701,0,20862,2086200,-68.45878747138244,430.9994239940666,0.8465396466116905,0.5586780900786004
10,117,125,Androsace chamaejasme,1071,1071,0,301,30100,108.4839857907376,-536.7631491533898,0.8481590617351468,0.7364294993709133
10,118,123,Oreochloa disticha,1271,1271,0,279,27900,208.92579251108475,-528.2376041157239,0.8494792548428572,0.730615071824473
10,119,112,Thymus vulgaris,26836,26836,0,2619,261900,-581.9030688079214,-1019.0424354864284,0.8510944700532378,0.6714336753486045
10,120,127,Onobrychis supina,2471,2471,0,493,49300,-412.47342615636853,-885.3557772100555,0.8595447572085545,0.7394208801201212
10,121,126,Carex mucronata,1157,1157,0,296,29600,232.3431401068377,-519.6714692394951,0.859787784798517,0.737234963525801
10,122,101,Danthonia decumbens,42618,42618,0,8920,892000,-230.71827099296675,242.8778433711255,0.8634292754134224,0.6434946525230246
10,123,128,Leontodon incanus,1184,1184,0,352,35200,276.958907756069,-482.25016928668293,0.864896649953479,0.7415174205717519
10,124,121,Aphyllanthes monspeliensis,22342,22342,0,1671,167100,-576.6897182004172,-999.9636512837346,0.8667019942871127,0.7140549223178236
10,125,122,Seseli montanum,6799,6799,0,2013,201300,-584.2617109088743,-709.7296178937778,0.8673291382631697,0.7305684359607046
10,126,129,Primula minima,1878,1878,0,260,26000,243.88351524229802,-534.0775886497903,0.8679733309518302,0.7604922201717523
10,127,118,Thymus serpyllum,12362,12362,0,4022,402200,249.71646153304692,358.22420493673286,0.8689375369149249,0.6951033718038216
10,128,130,Thesium divaricatum,1719,1719,0,543,54300,-484.3681229008168,-867.6667842333165,0.8714613251346354,0.7652940190523231
10,129,116,Fragaria viridis,10953,10953,0,5103,510300,869.7898236038451,254.56146072172015,0.8759622071369639,0.6857774003793748
10,130,113,Carex pilulifera,64336,64336,0,10678,1067800,-206.32957814163086,220.53616421111695,0.8810838568460977,0.6738495606912899
10,131,134,Crepis jacquinii,419,419,0,148,14800,273.2800023297122,-489.6790262013541,0.8836017487044571,0.7845167187357369
10,132,132,Helianthemum canum,1843,1843,0,618,61800,-533.2442820673307,-923.8057361923146,0.8854034045706887,0.7795834263524974
10,133,136,Inula montana,1788,1788,0,234,23400,-314.4539871238373,-875.4494423487178,0.8904807498625528,0.8067138491688813
10,134,137,Thesium humifusum,1660,1660,0,254,25400,-307.2437310628223,-880.3741178308761,0.8918948775289167,0.8073700640582668
10,135,139,Ononis striata,1110,1110,0,320,32000,-486.1402726633321,-877.8774929161413,0.8949454410697877,0.8107229393897544
10,136,135,Festuca valesiaca,2715,2715,0,1180,118000,1021.1229515090787,-309.739776704657,0.8990224232537429,0.7892407994547802
10,137,133,Stipa capillata,3930,3930,0,1747,174700,1212.8851025295473,-223.38959388728713,0.9098025293577886,0.7833968068065706
10,138,131,Falcaria vulgaris,6114,6114,0,3026,302600,733.207485751794,-182.88172518512445,0.9148589291262642,0.7747936224310091
10,139,143,Trisetum alpestre,479,479,0,116,11600,294.58300407296076,-489.04126330059626,0.9152890280826862,0.8310688456472543
10,140,138,Centaurea stoebe,3934,3934,0,2021,202100,587.1142877874447,-136.57631531153348,0.9206852700582705,0.8086160990059807
10,141,142,Sempervivum globiferum,1650,1650,0,856,85600,661.5274174544015,25.326929896403996,0.9234656925617407,0.8262714635054403
10,142,146,Campanula alpina,600,600,0,131,13100,492.11979045646177,-446.02000574477387,0.9283329609731111,0.8519828284035054
10,143,145,Festuca filiformis,5992,5992,0,2057,205700,-467.22900655862185,-136.38417454525717,0.9293032818484723,0.8432717768190349
10,144,140,Galium saxatile,49240,49240,0,5256,525600,-514.6730295818396,308.9062813569415,0.9299559601665617,0.8117053184739913
10,145,141,Scabiosa ochroleuca,4800,4800,0,2387,238700,1012.9796227857677,-121.7024904665003,0.9347272954413903,0.8186083433394201
10,146,148,Allium senescens,260,260,0,109,10900,442.84611039314467,-435.4516783181372,0.9360382302413743,0.8752974779455653
10,147,150,Ranunculus pyrenaeus,412,412,0,111,11100,-675.7782018736472,-979.0910841937588,0.9394740810725634,0.8770684650750303
10,148,157,Achillea clusiana,174,174,0,29,2900,353.37437352335877,-469.6365690777069,0.9421833867568742,0.8879970041637679
10,149,158,Festuca glauca,332,332,0,237,23700,-415.0508858376556,-724.516083346478,0.9453038586645635,0.8932799822589936
10,150,156,Festuca pallens,500,500,0,252,25200,228.50812346471236,-354.6445152607619,0.9454296366292064,0.8877000612398562
10,151,144,Salvia nemorosa,3984,3984,0,2242,224200,1394.2240818971366,-89.78168188928399,0.9464963471140073,0.8415630385404946
10,152,154,Festuca airoides,524,524,0,105,10500,-317.297576731119,-826.2165527675062,0.9472175138942532,0.8834871498408648
10,153,147,Potentilla incana,2066,2066,0,1045,104500,912.9450061770666,-73.695474671405,0.9496913556629932,0.8715063429374696
10,154,159,Erysimum odoratum,488,488,0,355,35500,237.1490684303708,-403.4741670868418,0.9511025213479577,0.8947192344925127
10,155,153,Linum suffruticosum,4380,4380,0,1110,111000,-931.3789617361125,-1230.1450965539887,0.9524285298692794,0.8826274148958798
