JobIDRaw|JobID|JobName|State|ExitCode|Elapsed|TotalCPU|CPUTime|AllocCPUS|AllocTRES|MaxRSS|MaxVMSize|Start|End
55629240|55530303_112|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:33|2026-09-04T15:55:34
55629241|55530303_113|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:33|2026-09-04T15:55:34
55629246|55530303_114|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:36|2026-09-04T15:55:37
55629247|55530303_115|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:36|2026-09-04T15:55:37
55629248|55530303_116|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:36|2026-09-04T15:55:37
55629254|55530303_117|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:39|2026-09-04T15:55:40
55629255|55530303_118|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:39|2026-09-04T15:55:40
55629256|55530303_119|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:39|2026-09-04T15:55:40
55629265|55530303_120|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:41|2026-09-04T15:55:42
55629266|55530303_121|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:41|2026-09-04T15:55:42
55629267|55530303_122|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:41|2026-09-04T15:55:42
